date,user_id,session_id,channel_grouping,campaign,source,medium,page_views,unique_page_views,avg_time_on_page,bounce_rate,transactions,transaction_revenue,conversion_rate
2023-05-13,3586e56a-3655-4406-8f07-56268031f61e,2cad1f94-0241-47b7-96ed-3669e2220a6c,Social,Summer Sale,facebook,social,9,1,124.12384035942776,0,2,49.19359683866212,0
2023-01-18,180b98ef-1c28-41cc-a1b9-812e489bedee,ea4c83ef-ed63-40e7-8555-525619f055f1,Referral,(not set),(direct),referral,6,2,139.0468269088036,1,0,258.24905713869197,0
2023-05-29,dac3515f-e2c2-4f9e-a1d6-1bb4393f7963,664679f5-2749-4eba-9b18-8c00032c2985,Paid Search,Holiday Special,bing,cpc,7,5,258.0642482409103,1,0,118.10754211090384,0
2023-07-04,2c3db009-fce7-4b5a-8912-2360ae2d6f1e,c501be65-ee23-4487-b5b1-2764a817b737,Referral,(not set),(direct),referral,10,1,186.04946801367646,0,0,219.6852243223268,1
2023-04-07,df0a41fe-0d44-4317-8795-e5964757b473,4b30a714-bbbc-4f0e-a8d8-667d2fe56100,Referral,Launch Promo,(direct),referral,9,1,73.29107463813251,0,0,29.709815511981162,0
2023-05-25,27d09c5d-9eec-4653-8507-13cdf4c930e4,971d37e2-4084-4c5c-b9b1-96e6f75c0534,Referral,Holiday Special,(direct),referral,2,2,73.60589268433036,0,0,147.97345764745097,0
2023-11-04,1dd8063a-e357-4e5e-b1cd-f8e897e1752d,5575a659-8d36-4e58-a417-0b547d75e297,Referral,Summer Sale,(direct),referral,7,1,77.23565739383196,0,1,213.43133033294353,0
2023-02-20,89335566-52d5-4def-847a-a65a6e176b70,80445459-a40e-4ce9-b42b-eea556242650,Paid Search,Holiday Special,google,cpc,4,1,29.58168614464455,1,1,238.38394630639755,1
2023-11-29,80b8af7d-61ae-4446-ac9a-e97f65728d1f,3783e795-9f59-4928-8ede-256600caee87,Paid Search,(not set),google,cpc,4,3,68.57576155398843,1,2,142.72624253720488,0
2023-12-07,0ae06193-9ade-4983-93d9-f3a3b2e908b0,6d558a41-bd0f-4c8e-984f-72425848614d,Social,Summer Sale,bing,none,6,2,112.7915035969145,0,1,64.79155421081316,0
2023-08-04,d7c62c4b-dad1-4732-a021-8476fb6c8d9f,c9aa2ee7-d857-488e-b94d-f5daf4c8dc7e,Paid Search,Holiday Special,google,cpc,5,4,24.443426553820558,0,1,289.10774096022914,0
2023-05-12,2e0f488e-725d-4ad8-9937-926b1d76ad0c,8818e7c2-e23d-4adc-b365-6fa13650b96d,Organic Search,Summer Sale,google_search,organic,8,1,300.0,1,0,211.3158370113544,0
2023-06-26,cf7d2698-23b7-4ca8-bdb8-14dd170458a0,5800af23-fda3-40b5-9ec5-fa56d8389f0e,CPC,(not set),bing,none,7,1,113.48156970344692,1,0,192.24663752789138,0
2023-05-14,91262c2a-fe39-45c3-9f09-36d866d37363,8cbdccdd-dec9-4f3f-88e7-42b10940d2f4,Paid Search,Summer Sale,bing,cpc,5,5,64.16884455659817,0,1,303.7822809960487,0
